Rating,Title,Date,Verified Purchase,Body,Helpful Votes
1.0,"Crappy, Pointless Mess","October 31, 2018",Yes,"If I were a writer and knew that I would have to give up money if I didn't have a ""book"" on my publisher's desk by a date certain, and time was up, this is the kind of load of crap I would dish up.  What passes for a plot is meaningless:  the whole book is fleshed out with WW II history that needn't be narrated as fiction, and arcane minutiae of criminal and civil procedure that couldn't be more boring and, moreover, is woefully inaccurate.  I actually felt that I'd been tricked into reading this steamer by being bamboozled by Grisham's reputation, on which I can't comment. BORING!!!!!!",132
4.0,"“The Reckoning;” Haunting - FACT, or FICTION?","October 23, 2018",Yes,"John Grisham is a fairly prolific writer who concentrates on legal matters of intrigue. “The Reckoning” is a departure, of sorts, from his customary fare. I found the opening chapter a fascinating literary technique in which Grisham peels back, layer-by-layer as though peeling an onion, certain facets of our main character. We suspect the character is either older, or the time of the story is set in a time of a few decades previous, due to the use of the term negroes, instead of blacks or African-Americans, and due to other terminology...We know also that the guy is getting set to kill somebody. We determine also that the man is a family-loving middle-class working man, depending on cotton for his way-of-life. Such character development has us begging to understand why...I mention all of the above without fear of spoilers, because it is so readily apparent so early in this latest novel by John Grisham. One of the other reviewers claims this is typical Grisham rehash, but I fervently disagree. This is a major departure from run of the mill Grisham. And I loved his technique. As to whether it is great literary writing, I will leave that judgment to others...BLUSH FACTOR: No serious worries here. Zero eff-words to worry about, and only a sprinkling of the garden variety of words not normally used in polite dinner talk. I would have no serious reservations in reading this to children or my prayer group...THE WRITING &amp; EDITING: The writing is engaging and, at its best, rips into your psyche in a subtle manner. So much so that you wonder if Grisham didn’t happen to know a war hero whom he modeled Pete Banning on. Almost as an aside, we learn that this man commits a rarity in the county. ‘A white murder,’ as opposed to lynching black folks, which is not deemed as murder. Thus, quite early we know this is going to be about a lot more than one man killing another. Hold on to your hats, because we in for a roller coaster ride here...ADVENTURE &amp; SOUL: Probably the best feature of this novel. Partly historical, partly adventure and very deep in soul of a war veteran dealing with his skeletons. I’ll say no more, for fear of spoilers...CHARACTER: It’s probably quite apparent that this is a character-driven story...EXCERPT:..This brief snippet might help more than my observations can describe:..'... She took a flood of beautiful memories of the past five years in Clanton. She took the painful farewells of a congregation that had nurtured her and her family. And, she took her husband. In the chaos after his murder, she’d agreed to have him interred in Clanton because it was simpler. However, they were not from Mississippi, had no relatives there and no real roots, and she wanted to go home. Why leave him behind? Part of her day was a trip to the cemetery to lay flowers and have a good cry, a ritual she planned to continue forever, and she couldn’t do that from Georgia. Dexter was from Rome too, so she had him reburied in a small cemetery behind a Methodist church...They had married when he was in seminary in Atlanta. Their nomadic journey began upon graduation, when he was assigned the position of associate pastor of a church in Florida. From there they zigzagged across the South, having three children with no two born in the same place, and finally got assigned to Clanton a few months before Pearl Harbor...Jackie loved Clanton until the day Dexter died, but not long after the funeral she realized she couldn’t stay. The most immediate reason was that the church wanted the parsonage. A new minister would be assigned and his family would need a place to live. The church hierarchy generously offered to provide housing for a year at no cost, but she…..Grisham, John. The Reckoning: A Novel (p. 72). Knopf Doubleday Publishing Group. Kindle Edition...BOTTOM LINE..I'm tempted to rate this five stars due to the subtle ways in which Grisham gets us inside the hearts and minds of not merely the main character, but of several others. Yet, there is more that could have rounded out the story to make it the epic it truly deserves. Why? Did I forget to say that this fiction, perhaps based on fact, is Grisham’s most haunting story? To make sense of this statement, though, you’ll need to read “The Reckoning” from cover-to-cover and then think for just a bit…..Four stars out of five...I am striving to produce reviews that help you find books that you want, or avoid books that you wish to avoid. With your help, my improvement will help you and me improve book reviews on Amazon. Together, you and I can build a great customer review process that helps everybody. Will you join me? It is people such as you who have helped me improve over the years. I'm still learning, and I have a great deal yet to learn. With your help, I'll improve every day...One request: Be respectful and courteous in your comments and emails to me. I will do likewise with you...Thank you so much for indicating if this review helped you, or for your comment. for indicating if this review helped you, or for your comment.",146
2.0,Do not recommend!!!e,"October 28, 2018",Yes,"If you wish to spend at least 1/3 of the book getting a histoty lesson on Gen McAuthor and Japan's takeover of the Philippenes then you may enjoy the book.  I skipped over the large majority of this section.  The book also drug on and on in other parts.  I wanted to enjoy a thriller like the authors earlier books, not a sad, tedious and boring book like this one. this will be my last book by this author.",110
1.0,I will never get this time back.,"October 28, 2018",Yes,"I was really eager to read this book, and hated it.  Long long descriptive passages about mundane things. So much dramatic build up about nothing. The war parts are appreciated but the rest was a waste of time witn unsympathetic characters. Time to find a new fave author.",75
1.0,"Long winded, oais by the word","November 1, 2018",Yes,"I have always enjoyed John Grisham's novels. This one is a disappointment. First of all I did NOT like the ending at all. I know that's about me and not about the book but I still didn't like it. More than that I didn't like wasting my time thumbing through page after page after page of completely useless narrative. There is a vastly long section at the center of the book where he is writing about the mothers mental problems and the sons law school career that are a complete waste of time. It's obvious that the publishers are paying him by the page or by the word.  The result is a huge amount of unnecessary text that doesn't really contribute to the story, that is very useful in putting me to sleep. This is not the first time this is happened. I have found it happening more and more frequently with other authors.",78
1.0,too long and too detailed,"October 27, 2018",Yes,"This was a bad read.  Too much information on mostly known history.  Agree, not enough character development on some people.  Way too much detail before ""secret"" was FINALLY revealed in last 10 pages!!",88
1.0,"John, John, What Happened To You?","October 28, 2018",Yes,"This is a disjointed, dislikable book - a soap opera with some courtroom window dressing and the Bataan Death March thrown in for no apparent reason except alleged depth of feeling. The mystery of the main character is that he won't talk - a sort of misguided Clint Eastwood Man With No Name anti-hero. Not talking can work on the screen but does tend to drag on on the page. The wife does a bad thing while her husband is slogging around in the Philippines, although it isn't clear what that is until the end. Consequences ensue. The hero kills somebody else. The generations-old family farm is lost to a shyster lawyer. Almost everybody dies. Who knew what? When did they know it? Who was wrong? In the end, who cares? I can't believe I read the whole thing.",65
5.0,The Bataan Death March,"October 25, 2018",Yes,"I read all of Mr. Grisham's novels and look forward to each release with anticipation.  But none before have held my interest as much as The Reckoning.  My uncle through marriage is a survivor of the Bataan Death March.  He never spoke of his experiences.  Not a history buff, I had no understanding of the atrocaties  of this war.  This novel was spellbinding from start to finish.",82
2.0,Disapointed,"October 27, 2018",Yes,A lot of long arduous filler to finally reveal nothing of surprise.  Dont believe the hype.  This is not his best work.  I feel more like the victim of a con job than a satisfied fan.,46
1.0,So NOT Grisham !!!!!,"October 28, 2018",Yes,"I have been a big fan and have read EVERY Grisham novel. This is just bad.  The story arc is so lacking in credibility.  How could Pete who suffered through what he did end up killing another for ""sins"" committed when he was presumed dead ? What allowed him to survive the atrocities of war would have allowed his mind to deal with an infidelity another way-- I think--- just did not ring true for me. The narrative was also lacking in tension-- very boring in fact, but I plowed through it.  I think Mr Grisham is definitely past his prime or just being lazy.  What a waste of printed paper!",37
