Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5.0,Perfect price and quality,"October 8, 2018",Yes,Got these for my 13 year old who listens to music constantly. They are great sound and they block out the annoying sounds from his younger brother so he can enjoy his music. They fold up nice for going in his book ag while at school.,515
2.0,Some Factors to Consider,"October 13, 2017",Yes,"UPDATE: After less than a year of ownership, the structural integrity of these headphones has begun to degrade. The leatherette covering, present on the ear cushions has begun to flake. Cracks have also begun to develop in the headband. These headphones have been used lightly and have been well cared for; these are factors to consider when purchasing these headphones...Original Review: Great Pair of Bluetooth Headphones for the Price: As a certified audio professional who mainly listens to and composes rock music, I can say that at this price point you are not going to get Sennheiser, Bose or Beats audio quality out-of-the-box. However, for the price these are useable headphones that are more than capable of providing decent audio quality (once the right adjustments are made). They require a bit of frequency gain reduction between 60-250Hz to reduce boom and a boost at around 16kHz to establish clarity. Once you’ve done that you’ll have a more balanced sound from these headphones...The bluetooth volume controls, and battery status bar indicators of these headphones are natively supported on Android (but not on macOS.) In other words when you adjust the volume on your headphones it will directly adjust the volume control on your Android device. On the Mac the headphone’s volume is independent of macOS. Play/Pause and Skip buttons work natively on both platforms...There are no latency issues when watching video. Lips move in sync with audio...The MPOW 059 supports the SBC audio codec exclusively, which means no AAC or AptX is present. It would have been great to see support for AAC seeing as it is a superior codec to SBC but nonetheless sound quality is reasonable...macOS users will need to download the “Hardware IO Tools for Xcode” from Apple’s developer page in order to get the “Bluetooth Explorer” application. This application will allow you to increase the bitpool value from its default value of 40 to 53. This will dramatically improve the audio quality of these headphones and any other bluetooth headphones that rely solely on the SBC codec. For those who want specifics: a bit pool value of 53 is equal to a bitrate of 325 kbps. SBC at 325 kbps is the equivalent of MP3 at 256 kbps. When the you’ve downloaded “Hardware IO Tools for Xcode”  and have opened the Bluetooth Explorer app you will see the app’s name in your menubar. Go to “Tools &gt; Audio Options” or “Command + Shift + A”. This will bring up the window for you to edit the SBC audio settings. Under “SBC Codec Options” Set all bitpool values to 53 and close the window. This will ensure that the audio quality remains optimal. Close the window and re-connect your Bluetooth headphones...Build quality seems reasonable, hinges are reinforced with metal. Only time will demonstrate the endurance of these headphones but superficially speaking the headphones appear to be quite sturdy. The ear-cups and headband are made of a soft synthetic leather which provides initial comfort but they are a bit shallow in depth and can place a bit of pressure on the ears when the headset is worn for an extended period of time. Battery life is reasonable. Accessories include a micro-usb cable for charging and a 3.5 mm audio cable which is handy for more critical listening and for events in which the battery has lost its charge. The velvet-like pouch is a great inclusion and provides protection against dust and scratches. These headphones are definitely worth the price and I doubt you’ll find better at this price point.",617
5.0,Wear them Daily,"May 27, 2017",Yes,"Pros: comfortable on my large head. No headphone has ever covered my ears without hard places or sweaty or too tight. These are good for hours.2. Battery seems to last many hours. Lost track.3. Pairs easily with my moto  G 4 phone and also a BT transmitter connected to my Chrome TV dongle.  Easily xfer back and forth.4. Clean, rich sound.  Nice break from my ear buds..5. Build quality acceptable for this price.  Soft earpads and padded cross support.  Buttons gave solid response.  Ear cups are flat enough to lay head on pillow to watch TV..6. Adjustable enough to find perfect comfort position..7. Good volume and surround and noise rejection..Cons: none.  We'll see how they hold up to long daily use..Update 9/30/2017  I wear these for several hours each day.  Holding up well.  Battery still holds good long charge.  I added moleskin to the earpads to make them a little more comfortable.  Ear holes could be a tad bigger for my head and ears.  Overall still the best headphones I have owned.","1,535"
3.0,"Lag when using these to watch shows, average sound","February 5, 2018",Yes,"Amazon reviews used to be helpful; I'm learning to start tempering them with a good dose of skepticism.  Apparently terms like ""fantastic"", ""amazing"", and ""phenomenal"" are used loosely and to cover a wide range of very average products.  First off, FOR THE MONEY these are decent headphones.  They aren't anywhere close to better headphones in sound quality or build quality, but they aren't close to the price either...My first and main issue with them is that there is noticeable lag between the show and the sound through these headphones.  Any lag in sound while watching a show makes them unusable in my opinion.  For music, not a big deal at all of course...Second, the sound through these headphones is very average.  There is no deep bass; I've used much smaller headphones (not over ear, and not earbuds) that have MUCH better low range.  I have a pair of over ear headphones I purchased on Amazon for under $100 that have fantastic (truly fantastic, not fantastic for $35) sound, clarity, and low range.  There is some noticeable fuzz/static while listening to shows, though not enough that it really bothers me...Let's stop giving 5 star, better than my Bose (not a fanboy), glowing reviews to average products.  It doesn't help anyone who needs honest opinions about products...Lastly, mine only came with an audio cable and a USB cable; it did not include a power adapter, which it sounded like it should from the manual when it tells me to insert the charger into a standard outlet...For $35, this is an OK set of headphones.  I wouldn't buy them again if the lag issue during shows is normal.",755
5.0,Mic doesn't work,"March 20, 2017",Yes,"The Mic doesn't work properly. Others can barely hear my voice...Update 04/06/2017:..Customer service did pretty good job and fast, by contacting me about the issue I had. They even re-order a new one for me, now everything is work perfect as I expected. Thank you and keep up the Good work.","1,009"
5.0,Great purchase,"August 31, 2017",Yes,Fantastic head phones! They stay charged FOREVER! I had them fully charged and used them for an hour on average 6 times a week and did not need to charge them again for a month! The only complaints I have is when doing certain exercises they tend to slide off my head a little so I have to adjust them a few times.,533
1.0,Two Failures?,"January 19, 2018",Yes,"I purchased two of these on Aug 18. 2017.  One failed in approximately 90 days and one in 110 days.  Both outside the Amazon return window.  Requested help (or at least sympathy..lol) from the shipper and received none.  I do recognize that the shipper does not warrant the product; however, they normally have a better rapport  with the manufacturer they represent.  The units worked great until they both failed to pair with any of several devices they had been pairing with.  This is the first negative review I can remember giving.",125
5.0,$30 is CHEAP for five stars *glory hands*,"August 30, 2017",Yes,"I waited over a month to write this review because I thought no way could these headphones actually be this good for the price.  But I use them all day everyday and I have never been more impressed with headphones under &gt;$50... I have sensitive ears with headphones and am super picky but these are so comfortable I can sleep in them.  Noise reduction is great when something is playing, pretty crummy though when there's no audio. Fast charge, easy to pair Bluetooth or wire jack, play/pause and fwd/rwd buttons are handy.  Overall definitely worth the buy, highly recommend.",389
5.0,Replacement works great,"August 2, 2017",Yes,I received the item in a timely fashion. I unpacked it and read the user manual. Then I charged it. The red light came on and in a couple of minutes it went out. I thought maybe it had been charged and was still holding the charge. I was able to pair it with my iPad. I listened to two tunes and then a full half hour of a britcom on YouTube. Then the battery was done. I recharged it and had a similar experience. I just returned it for a refund. Be advised that you may or may not get one that works...The company contacted me and said they would like to send me a replacement. I received the replacement and charged it. It took about 3.5 to 4 hours to charge. I then paired it with my iPad. I listened to some of my music about two CDs worth. I then watched about three of my favorite Britcoms on you tube. The audio quality was outstanding. I listened to music or watched you tube tv shows and some music tutorials for the next week and a half. I even had them on for 7.5 hours one day. I planned to wait until they needed charging before i wrote the review. They are still going strong. The fit is good and very comfortable. Now about the sound. I already said that it was outstanding.  I compared them to my Sennheiser cable head set. I honestly could not tell the difference. I then compared them to Bose wireless there was a very slight difference but not much. Overall they are extremely good. If you have trouble with them contact the company and see what they can do. I love them and could not be happier.Ron,70
5.0,Very nice value for bluetooth headphones (foldable / wired AND wireless / good build quality),"January 29, 2017",Yes,"Need a nice value bluetooth headphones with durability, good sound quality, &amp; can be wireless OR wired? This MPOW headphone is it!..*Unit Operational Test*.This is a pretty simple unit to test. I started with testing fitment / adjustment to my head using the sliders (stainless steel sliders, nicely done!) while also testing the ability for folding the headphones (worked great, very solid feeling). The memory foam ear cushions and along the inside of the headphone band where the top of your head will touch feel very comfortable with good spring in the foam. It is an attractive set of headphones, good use of contrast red, silver, and black. The device is touted to NOT be active noise canceling so we'll test passive noise reduction with the over-the-ears cushions...The device has user controls on one side (power, volume up, volume down, track forward, track reverse, play / pause) on the right-ear side. My Test: 1) Turn on the Headphones ... you'll heard a clear voice 'Power On' message. 2) Turn on Bluetooth on your phone and pair the MPOW headphones / connect. 3) Start up your preferred music or audio smartphone app. 4) Operate the headphones (connected and streaming from your BT-enabled phone) for 10 hours continuous streaming and wired mode (using the supplied 3.5mm audio cable) along with conducting a test phone call. Then power off the headphones...I used my primary phone, a new Nexus 6P as my initial test. I turned on the headphones (the headphones provide an initial.""powering on"" along withe a ""not paired"" audio cue), then paired the device and connected by phone using Bluetooth (yet another audio cue ""phone 1 connected""). I next started up one of the music apps. Eureka, it works!. Sound quality is quite good especially at this price (little emphasis in the mid-band imo). I can confirm no active noise cancellation but with the nature of the ear cushions I did experience reduce ambient noise when the headphones were on and in use. Sound can get LOUD but yet clear (no distortion nor crackling), which is nice to see. You won't get thumping base or highs, but that's to be expected...I next disconnected from bluetooth and attempted to test wired connection using the supplied 3.5mm audio cable that was supplied by MPOW to connect to my phone's headphone jack. The MPOW worked well in wired mode! Very handle to have both wired and wireless modes. I lastly powered off the headphones (nice touch for an audio ""powered off"" confirmation cue)...My next test was to make 2 phone calls (one to my home landline phone and one to my cellular voicemail). Calls were very clear and quite loud (with the headphone volume turned all the way up), and everyone could hear me fine using the built-in mic. This test completed successfully as well...*Recharging*.The MPOW Bluetooth Headphones offers built-in rechargable battery (420 mAH) that is rated to last up to 13 hours of continuous music time or 15 hours of talking time. I've done a test with the headphones running while streaming music using bluetooth, my test ended after 10 hours and it was still running! That's more than enough run-time for me...I tested recharging as well using the micro-usb port (found on the same side as the user controls). You'll see a red led light come on.. It took me several hours for a full recharge after using for 10 hours straight in my music playback test...*Build Quality*.Very solidly built device. Not in the same league materials-wise as Bose but also not in the same price range. Good use of sturdy plastics, memory foam as the ear cushion, stainless steel for the adjustable sliders. The unit's folding capability also worked well, very solid feeling along the hinges. Good fit and finish overall...*Conclusion*.This MPOW Bluetooth Headphones Over Ear delivers in what they said this device could do. It connects seamlessly to your BT-enabled phone and can play streamed audio but also can accept a wired connection (no battery charge needed in wired mode!), the headphone design is foldable (great for travel &amp; storage in general). It's a solidly-built and comfortable-to-wear device. Mpow offers a 45-day money back guarantee and a 18-month worry-free guarantee as well (I've not yet needed to take advantage on the other Mpow items I've bought in the past, all are working great). I would happily recommend these headphones to friends and family, especially for the value &amp; flexibility to use in wireless or wired mode..<a class=""a-link-normal"" data-hook=""product-link-linked"" href=""/Mpow-Bluetooth-Headphones-Over-Ear-Hi-Fi-Stereo-Wireless-Headset-Foldable-Soft-Memory-Protein-Earmuffs-w-Built-in-Mic-and-Wired-Mode-for-PC-Cell-Phones-TV/dp/B01NAJGGA2/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Mpow Bluetooth Headphones Over Ear, Hi-Fi Stereo Wireless Headset, Foldable, Soft Memory-Protein Earmuffs, w/ Built-in Mic and Wired Mode for PC/ Cell Phones/ TV</a>",797
4.0,Great Sound for Budget Headphones,"February 24, 2017",No,"I've really enjoyed these MPow Bluetooth Headphones, especially for the price.  At an entry level price, you get good sound and long battery life.  It doesn't have the really deep bass like some other headphones do, but they offer decent balanced sound.  If you wear them for more than an hour, it could start to hurt your ears if you have larger ears.  If you use the bluetooth feature, make sure you either turn your headphones or phone volume all the way up to maximize your volume.  With one turned all the way up then you can control the volume with the other device...They pair really fast with an iPhone 6S Plus and they have audio cues to let you know what mode the headphones are in...Making a call was clear, but having my voice muffled by the over-the-ear style headphones isn't ideal for me, so I probably wouldn't use them for long calls...While they don't have active noise cancellation, they do a good job at keeping background noise out because of the style.",819
5.0,Best Headphones,"September 21, 2017",Yes,"<div class=""a-section a-spacing-small a-spacing-top-mini video-block"" id=""video-block-R31CWRIH2DAP34""></div><input class=""video-url"" name="""" type=""hidden"" value=""https://images-na.ssl-images-amazon.com/images/I/E1ss063UMRS.mp4""/><input class=""video-slate-img-url"" name="""" type=""hidden"" value=""https://images-na.ssl-images-amazon.com/images/I/B14N9ASmYeS.png""/> These headphones are perfect!",73
1.0,"no midrange, yes white noise/distortion--don't bother with these unless you like to get stuff in the mail only to return it","May 1, 2018",Yes,"This headphone set has poor sound quality:  it lacks midrange, and attempts to compensate by boosting treble and bass, but in a bad way.  Mids are still scooped &amp; music sounds poor &amp; cheap..The hissing white noise is intolerable, unless you like white noise then these are perfect for your youtube noise videos...I tested these with (remastered) Led Zeppelin, Physical Graffiti, and Hillsong United, Zion.  I would've also tested with Maxim Vengerov or a Rachmaninov concerto but didn't bother after listening to two albums...I'm not an expert but I am a musician with sound engineer experience.",47
5.0,Mom and Teen approved!!,"September 6, 2017",Yes,"Birthday gift for our 19 year old son who keeps either breaking the headphones or they crap out on him after a few months. He LOVES the bluetooth and that they are over the ear.....as do I. They fold up as well, although he hardly ever takes the time to do so during the few hours that he actually doesn't have them on. One of the main reasons I purchased this kind had to do with wanting him not to have them shoved INSIDE his ears for these long periods of time. So...win/win here! They seem to be holding up to him so far which says a lot actually lol..Thank You!!",118
1.0,Let me down,"December 11, 2017",Yes,"These seemed to be solid, awesome headphones but as of today they mysteriously stopped being able to charge and prematurely died on me at work after showing half battery life 10 min prior. Had high hopes for these headphones as my job is very physical, hands on,  up to 12 hour shifts but very disappointed now. Shows no red light indicating charging with multiple chargers on different outlets.",72
