Rating,Title,Date,Verified Purchase,Body,Helpful Votes
1.0,Phone constantly crashes. Battery is junk. Sold me ...,"April 12, 2017",Yes,Phone constantly crashes. Battery is junk. Sold me a piece of junk and I want my money back. Don't buy. Spend the extra cash and go through a decent company,397
1.0,One Star,"October 26, 2016",Yes,"I bought 2 iPhones with this seller, both have problems and I can't return them.",643
2.0,Need a New Battery,"April 12, 2017",Yes,I bought the phone in December 2016 and it is now April 2017 and Apple informed me that the battery has reached the end of its life and they are charging me $80 to replace it.,81
1.0,Phone stopped working altogether,"April 2, 2017",Yes,"I bought this phone in July 2016.  As of this past week, it has stopped working altogether.  I contacted the seller for assistance, and because more than 90 days had past - there was nothing they could do.  I tried working with Apple to troubleshoot to no avail.  I'm not even able to restore the phone to factory defaults using iTunes because of the error messages.  Right now, the phone won't even turn on.  At the time I purchased the phone, it was listed as a ""certified refurbished"" product.  After paying nearly $400, I would like to think that the phone should last at least a few years.  I just purchased a brand new iPhone directly from an AT&amp;T store and hope for better luck.  I will never trust ""certified refurbished"" again.",56
1.0,Bad phone never again,"April 18, 2017",Yes,The cellphone is broken and the battery is old when the technician open it up to fix it. Super bad experience,74
5.0,Legit,"April 29, 2017",Yes,Awesome shipping. Awesome product. Was better than i anticipated. You made my son a happy boy. Pop the sim card in and set it up and easy as that. Highly recommended.,21
1.0,"Item not working, have to pay out of pocket to return","July 7, 2018",Yes,"Item came with the battery not working. And the seller didn't give any return label as well, have to pay out of pocket to ship the item back..Its a waste of money. They didn't do any certification, seem to just acquire the product and re-ship to the Amazon buyers. This seller should be banned from Amazon for not meeting the quality (I can see the same issue happening to a lot of people).",17
2.0,Buy from Apple,"November 7, 2017",Yes,"Like many have already written, you take a risk with refurbished. I've never had an issue before, but this is the first time an iPhone has given me issues. Right after the warranty ended, the iOS starting causing problems. The phone randomly opens apps and periodically shuts itself off..The battery is the biggest issue. It needs to be charges 3 or 4 times a day. I literally walk around with a powerbank to keep it from dying. It will lose 50-70% of the battery within 30 minutes. It does charge quickly but it dies just as fast...Cosmetically the phone was perfect. No dents or scratches, but the battery issue is extremely frustrating.",12
5.0,Extremely pleased with this purchase,"March 17, 2016",Yes,"Extremely pleased with this purchase, at first I thought it was too good to be true but I made the Order and it was here in a matter of days and works very well no problems yet",58
1.0,Worn out battery,"March 31, 2018",Yes,Battery in this phone only has 51% capacity left meaning it won’t hold a charge long at all and it unexpectedly shuts down. On the upside Apple has a promotion going on where I could go to apple store and get a new battery for $30. I found a cellphone store that replaced it for $60 since I don’t have an apple store close by and phone works perfect.,9
