Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5.0,,"May 7, 2017",Yes,"If you're looking for peace of mind every time you leave the house, this power bank doesn't disappoint. It's the size of a credit card and only a hair heavier than my iPhone 6 making it extremely portable without being bulky and heavy. There's a power button you press which shows how much power is left via 4 blue leds (when it's dead, only one led will flash). You can only charge one device with this power bank but I'm always impressed by how quickly this charges my iPhone 6 (from 10% to near full takes approximately 1 hour). So far, I've been able to charge my phone about 4 times from near empty to full before having to charge the power bank. It comes with a usb cable to charge the power bank itself as well as a drawstring pouch. Since I hate carrying around the long original lightning cable from Apple, I bought the 1 foot ""Double Braided Nylon Anker PowerLine+ Lightning Cable"" which is the perfect size...What I love the most about this power bank is how effective it's been. The power bank itself requires at least 2 hours to charge from empty to full but once charged, your phone will charge to full in less time. As a result, I haven't charged my phone using a wall outlet since I bought this power bank more than a week ago. Not having to worry about my phone going dead or being near a wall outlet is the best feeling next to purchasing a new phone...So if you want a reliable power bank that charges your phone in no time and frees you from being attached to a wall outlet, GET THIS!",832
1.0,,"January 8, 2018",Yes,"This portable charger worked as described for two months and then it stopped working completely. I never over charged it and I used it sparingly. Now, it will not charge-up, turn on or charge any device. It has totally failed. I purchased two others in May and they also failed after a few months. This product appears to have a design flaw and lack quality control because the life expectancy is less than advertised. I rate it 1/2 star.",324
1.0,,"May 18, 2017",Yes,"I'm pretty disappointed with the charger. I've had it for less than a month and used it probably a total of 5 times. It no longer holds a full charge. I charged it overnight thinking I needed to charg it for a longer period of time, but that didn't work either.",200
1.0,,"December 30, 2017",Yes,"The battery pack would not fully charge. I tried using it and it only gave my phone 1.5 charges, it should have been over 4 charges. I tried to charge it again and it would only charge a quarter of the way after 24 hrs. I got a lemon and returned it.",126
3.0,,"June 11, 2018",Yes,"I bought the Anker PowerCore 10000, One of the Smallest and Lightest 10000mAh External Batteries, Ultra-Compact, High-speed Charging Technology Power Bank for iPhone, Samsung Galaxy and More because I couldn't find the older model I purchased a few years ago.  I bought the Anker brand because I'd been so pleased with the first one.  They work great with any battery powered electronic product that charges via USB - phones, tablets, WiFi speakers, etc.  This model has only one output, but, according to the specs, can charge a smart phone two to three times before going flat.  I really doubt I'll ever run it flat because my usage isn't very demanding...So, why only  three stars if this charger has so many great points?  I found my first one (DOH!) so ran some head to head tests.  This newer model takes twice as long to charge as the older one.  Its output is limited and takes twice as long to charge up a phone or tablet compared to the older model, and the older model has two outputs to charge two products simultaneously.  This is a good product, but not as good as others.",76
5.0,,"January 22, 2018",Yes,"I've had this power cell for almost 1 year. I left it on my car for a few months in variant weather and never charged it or used it. This morning I plugged it in for maybe 45 min and it was 1/2 charged. My phone went down to 3% and I got terribly lost in an unfamiliar place and needed to use Google maps and I knew that would kill my phone. I plugged in my phone to the charger and walked for 20+ minutes using my phone ,and got to where I'm going. Then left my phone to charge more and it charged all the way to 80% before running out of juice. I am very impressed that even sitting without use and in a hot car, this thing still worked great. I feel like it was definitely worth the money and am so glad I bought it.",117
1.0,,"January 22, 2018",Yes,"I ordered and received this item on January 4th 2018, it’s been less than 3 weeks and the charger is already not holding the charge. It worked fine the first time to had to recharge it, but now it doesn’t even charge.",120
1.0,,"April 24, 2017",Yes,Terrible. Charger doesn't even charge my phone. Even with all apps closed it drains battery. I tried turning my phone off and charging it and it estimated 5 hours to fully charge it. My phone was at 80%. Don't waste your money.,72
1.0,,"October 24, 2017",Yes,Worked great for a couple of months... now it has one bar after a full night of charging.  Disappointed.,46
4.0,,"July 13, 2017",Yes,"Updated: After I posted the review below, Anker customer service asked me to contact them. They looked up my past returns and invited/offered me to give Anker another try. The new charger they sent me has been working perfectly. I can really see why people like the Anker brand so much. I was unlucky before, but now that I have more experience with them, I will definitely have more confidence to buy more products from them. They have excellent value and I'll know that just in case I do get unlucky again, they'll make it right...I know Anker is a well-loved brand but I seem to have exceptionally bad luck with them. This is the second battery I bought and it would not charge. I returned it. (The battery I bought a few years ago also did not work)...I'm sticking with RAVpower for my accessory needs, as it seems much more reliable at least for me.",46
5.0,,"June 8, 2017",Yes,So far so good. I've used it a couple of times and I've been able to charge my iPhone 6S at least 3 times with one charge. I really like the light that tell you how much power is still left. It's also pretty small so it doesn't take up a lot of space.,35
1.0,,"February 3, 2018",Yes,This was a gift I purchased for my son. He is 14 and always using his phone.  The charger stopped working. It will not charge. It worked great at first he really loved it.  I question the quality of the product and will never purchsse from this company again. What a waste.,36
1.0,,"December 1, 2017",Yes,This charger was great initially. I loved how rapidly it charged my phone &amp; I would mention how much I liked the product to family &amp; friends. About four weeks ago I noticed it wasn't charging properly; it was taking to long &amp; sometimes it didn't charge at all. Well now it doesn't charge my phone at all &amp; it won't recharge itself. I am truly disappointed.,64
1.0,,"June 27, 2018",Yes,"This portable charger is amazing, when I had it I almost exclusively used it instead of wall ports because it charge my phone faster. I brought this charger with me when backpacking through Europe and often times when I didn't have an outlet it saved the day. It's also very durable and very portable. So why the one star review, well it was working really well but it seems there was a malfunction of sorts because it was overheating in my pocket, so airport security took it away from me as they deemed it a security risk. I only bought it a month ago and I used it appropriately, so I think I may just have gotten a slightly defective product and it chose to act up at the wrong time and now I am left chargerless.",16
3.0,,"August 29, 2018",Yes,"I really like this power bank because it's small  I can carry it anywhere I go and the pouch that came with it just added more convenience. With this power bank I get 3-4 full charge cycles for my galaxy S9 Plus. I only gave it 4 stars because it does not come with USB Type C cable in order to charge my phone, however it came with it's own cable so I can charge my power bank. Also, this power bank takes a while to fully charge, however when it comes to charging my phone, it's super fast!..UPDATE:.I received it about less than a week ago and I loved it, I fully charged before using it and I was amazed how much power it has! For two consecutive days, it worked wonderfully, I get 3-4 full charge cycles for my device before the anker product needs charging again. However, these past couple of days I noticed my anker power bank isn't lasting long.. I'd only get 1-2 charge cycles for my device before it needs charging. And today, my fully charged anker product drained to 0% while charging my device with it, it went from 100% charged to 0% in less than 2 hours. I Don't think it should do that, so I thought there must be a problem.. I contacted anker customer service and still waiting for response. Will update again soon.",10
2.0,,"September 10, 2018",Yes,"I bought this Dec 2017 and have mixed experiences with this battery. When it charges, it often gets really hot, so I unplug it and let it cool off for a bit, then plug it back in to charge again. Also, when I plug my phone into the battery to charge, it also gets super hot. I don't know if this is normal, but it often gets so hot I unplug it and let it cool down. Another reason why I give this product 2 stars is because about 50% of the time I plug it in to recharge, it doesn't charge all the way full even after several hours, or overnight charging. So I think it's charged up because it's been plugged in overnight, and take it with me on the road, only to find out it is not fully charged. Even though the size is small, it is quite heavy. For these reasons, I would NOT recommend this product. There are too many other charging batteries on the market now that have newer features, that are smaller, lighter, don't overheat, and are guaranteed to charge for a certain number of charges.",10
5.0,,"December 29, 2017",Yes,"EDIT: Anker's customer service has replaced my product as it was still under the 18-month warranty. It completely charges my iPad now and I can still use the leftover charge for my cellphone. I love Anker products and standby their quality, so although I recieved a defective battery once, I will not use it to generalize the company. Their customer service is also extremely patient and helpful...This portable battery was good while it lasted. I have no review about the wire that it came with since I used my own one that is longer. The travel pouch was also a nice touch. I liked that it had some weight to it so it does not feel too flimsy or delicate so I can throw it into my bag without worrying about it breaking. However, I am a bit upset that less than a year after using it, it no longer holds a full charge for my iPad mini.",10
5.0,,"April 23, 2018",Yes,"This is my first Anker power bank and I absolutely love it! I got this as a compact charger I could take with me back and forth to work and to my upcoming music festival I am attending. It is very compact compared to my other power banks. Fits perfectly in my purse and backpack I am taking to the festival..This power bank takes roughly 4 hours to charge completely and charges my samsung s7 approx 2.5 time just as advertised. Another huge plus with this product that I have found is that it really DOESN'T get warm or hot while it itself is charging OR when it is charging your device...Overall I am very pleased with this product, I would defiantly recommend buying this!!",9
